item_id,user_id,rating,timestamp,size,fit,user_attr,model_attr,category,brand,year,split
7443,Alex,4,2010-01-21 08:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,carolyn.agan,3,2010-01-27 08:00:00+00:00,,,,Small,Dresses,,2012,0
7443,Robyn,4,2010-01-29 08:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,De,4,2010-02-13 08:00:00+00:00,,,,Small,Dresses,,2012,0
7443,tasha,4,2010-02-18 08:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,gina.chihos,5,2010-02-25 08:00:00+00:00,,,,Small,Dresses,,2012,0
7443,Kim,2,2010-02-26 08:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,jess.betcher,5,2010-03-26 07:00:00+00:00,,,,Small,Dresses,,2012,0
7443,Elissa,4,2010-04-06 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,Yvette,4,2010-04-08 07:00:00+00:00,,,Large,Small,Dresses,,2012,0
7443,Allyson,5,2010-04-24 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
11960,bcornwell,5,2010-04-30 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
7443,emily.opala,5,2010-05-04 07:00:00+00:00,,,,Small,Dresses,,2012,0
7443,krista,5,2010-05-05 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,radhika.mulani,4,2010-05-28 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,Lina,5,2010-06-01 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,Karolynne,5,2010-06-11 07:00:00+00:00,,,,Small,Dresses,,2012,0
7443,Laurelle,5,2010-06-11 07:00:00+00:00,,,,Small,Dresses,,2012,0
7443,mjcuyler,1,2010-06-14 07:00:00+00:00,,,,Small,Dresses,,2012,0
11960,vickic88,5,2010-06-17 07:00:00+00:00,,,,Small&Large,Outerwear,,2010,0
7443,Monica,5,2010-06-17 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
11960,s_curtis82,5,2010-06-18 07:00:00+00:00,,,,Small&Large,Outerwear,,2010,0
7443,Tia,4,2010-06-19 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
11960,Mindy,5,2010-06-19 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
11960,krystalmarie,5,2010-06-21 07:00:00+00:00,,,,Small&Large,Outerwear,,2010,0
7443,tiffanyl85,5,2010-06-21 07:00:00+00:00,,,,Small,Dresses,,2012,0
11960,Talia,5,2010-06-22 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
7443,chelsmitch,3,2010-06-22 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
11960,Nichole,5,2010-06-22 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
11960,Jacqueline,5,2010-06-23 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
11960,Danica,5,2010-06-23 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
11960,poisonlake,4,2010-06-23 07:00:00+00:00,,,,Small&Large,Outerwear,,2010,0
11960,Emmy,5,2010-06-25 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
11960,Victoria,5,2010-06-26 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
11960,Jacque,5,2010-06-28 07:00:00+00:00,,,,Small&Large,Outerwear,,2010,0
7443,Bethany,5,2010-07-01 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
11960,Kelsey,5,2010-07-04 07:00:00+00:00,,,Small,Small&Large,Outerwear,,2010,0
7443,emilie.mercier,5,2010-07-06 07:00:00+00:00,,,,Small,Dresses,,2012,0
7443,Kirstin,5,2010-07-21 07:00:00+00:00,,,Small,Small,Dresses,,2012,0
7443,natashia,3,2010-07-23 07:00:00+00:00,,,,Small,Dresses,,2012,0
7443,Loni,5,2010-08-02 07:00:00+00:00,,,,Small,Dresses,,2012,0
7443,Shanna,2,2010-08-05 07:00:00+00:00,,Just right,Small,Small,Dresses,,2012,0
7443,Cassandra,4,2010-08-07 07:00:00+00:00,,Just right,Small,Small,Dresses,,2012,0
7443,MaryJackelyn,5,2010-08-09 07:00:00+00:00,,Just right,,Small,Dresses,,2012,0
7443,civilwarchick,3,2010-08-10 07:00:00+00:00,,Slightly small,,Small,Dresses,,2012,0
7443,Julianna,5,2010-08-10 07:00:00+00:00,,Just right,Small,Small,Dresses,,2012,0
7443,chandlen91,4,2010-08-11 07:00:00+00:00,,Just right,,Small,Dresses,,2012,0
7443,Laksmi,5,2010-08-17 07:00:00+00:00,,Just right,,Small,Dresses,,2012,0
7443,Nina,5,2010-08-19 07:00:00+00:00,,Just right,Small,Small,Dresses,,2012,0
7443,lenderle,1,2010-09-03 07:00:00+00:00,,Slightly small,,Small,Dresses,,2012,0
16411,Candice,4,2010-09-14 07:00:00+00:00,,Just right,Small,Small,Dresses,,2011,0
16411,lolaagain,4,2010-09-15 07:00:00+00:00,,Slightly small,,Small,Dresses,,2011,0
16411,flanniedc,4,2010-09-15 07:00:00+00:00,,Slightly small,,Small,Dresses,,2011,0
16411,Paige,5,2010-09-19 07:00:00+00:00,,Just right,Small,Small,Dresses,,2011,0
16411,Haley,5,2010-09-22 07:00:00+00:00,,Just right,Small,Small,Dresses,,2011,0
